Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
ADA4853-1,,,100000000,0.000001,71,,0.00000032,0.00000000022,0.0000000000022,1,55000000,120,0.0041,0.000000022,0.0000017,0.0014,2.65,5,6-Lead SC70
LTC6081,,0.0000000000015,,0.0000000000002,95,0.0000013,0.0000001,,0.0000000000000005,2,3600000,1,0.00007,0.000000013,0.000000000001,0.00033,2.7,5.5,8-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
OP07D,0.0000015,0.000000001,,0.0000000002,120,,0.00000002,0.00000000000076,0.000000000000074,1,600000,0.2,0.00015,0.00000001,0.000000001,0.0011,8,36,8-Lead PDIP 8-Lead SOIC
AD8003,,,1650000000,0.000007,46,,,,0.000000000036,3,,3800,0.0093,0.0000000018,0.00005,0.0095,4.5,10,24-Lead LFCSP (4mm x 4mm x 0.75mm w/ EP) CHIPS OR DIE
AD8617,0.0000045,0.0000000000005,,0.0000000000002,68,0.0000023,0.0000002,,0.00000000000005,2,400000,0.1,0.0022,0.000000022,0.000000000001,0.000038,1.8,5,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
AD8619,0.0000045,0.0000000000005,,0.0000000000002,68,0.0000023,0.0000002,,0.00000000000005,4,400000,0.1,0.0022,0.000000022,0.000000000001,0.000038,1.8,5,14-Lead SOIC 14-Lead TSSOP
AD8661,0.00001,0.0000000000005,,0.0000000000003,90,0.0000025,0.00000021,,0.0000000000001,1,4000000,3.5,0.00016,0.00000001,0.000000000001,0.0014,5,16,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC
AD8675,0.0000006,0.000000001,,0.0000000005,114,0.0000001,0.0000000064,,0.0000000000003,1,10000000,2.5,0.000075,0.0000000028,0.000000002,0.0029,10,30,8-Lead SOIC 8-Lead MSOP
ADA4841-2,,0.0000005,80000000,0.000003,95,,0.00000002,0.000000000038,0.0000000000014,2,35000000,13,0.0003,0.0000000021,0.0000053,0.0012,2.7,12,8-Lead LFCSP (3mm x 3mm w/ EP) CHIPS OR DIE 8-Lead SOIC 8-Lead MSOP
ADA4861-3,,,730000000,0.0000029,55,,,,0.0000000000055,3,,680,0.013,0.0000000032,0.000013,0.0161,5,12,14-Lead SOIC
