Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
LT1794,800f,31,2,200M,200M,600,5m,8n,4µ,,10m,8,36,$8.92500 (LT1794CSW#TRPBF),42.24mm² (20-Lead TSSOP w/ EP) (LT1794CFE#PBF),"20-Lead SOIC (Wide 0.3 Inch),20-Lead TSSOP w/ EP"
LT1814,1p,57,4,100M,,750,1.5m,8n,4µ,,3m,2.5,12.5,$3.54000 (LT1814CGN#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT1814IGN#PBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LT1815,1.3p,687,1,220M,350M,1.5k,1.5m,6n,8µ,,6.5m,4,12.6,$1.59000 (LT1815CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LT1815IS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23,6-Lead TSOT-23"
LT1880,70f,1607,1,1.1M,,550m,150µ,13n,900p,Output,1.2m,2.4,40,$3.13500 (LT1880CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1880CS5#TRMPBF),5-Lead TSOT-23
LT1969,2p,0,2,700M,,200,4m,6n,4µ,,7m,4,13.2,$4.83000 (LT1969CMS#TRPBF),14.7mm² (10-Lead MSOP) (LT1969CMS#PBF),10-Lead MSOP
MAX4245,100f,78726,1,,1M,400m,1.5m,52n,50n,Both,375µ,2.5,5.5,$0.87000 (MAX4245AUT+T),5.28mm² (Single Chip Package) (MAX4245AXT+),"6-SOT_23-N/A,Single Chip Package"
MAX4246,100f,16076,2,,1M,400m,1.5m,52n,50n,Both,375µ,2.5,5.5,$1.20000 (MAX4246ASA+),9mm² (8-SOT_23-N/A) (MAX4246AKA+T),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4247,100f,5057,2,,1M,400m,1.5m,52n,50n,Both,375µ,2.5,5.5,$1.20000 (MAX4247AUB+T),15.4025mm² (10-MINI_SO-N/A) (MAX4247AUB+),10-MINI_SO-N/A
MAX4350,1.8p,42480,1,,210M,485,26m,10n,20µ,"In to V-, Output",6.9m,9,11,$1.24000 (MAX4350EXK+T),5.28mm² (5-SC70-N/A) (MAX4350EXK+),"Small-Outline Transistor Package,5-SC70-N/A"
MAX4351,1.8p,17500,2,,210M,485,26m,10n,20µ,"In to V-, Output",6.9m,9,11,$1.71000 (MAX4351ESA+),9mm² (8-SOT_23-N/A) (MAX4351EKA+T),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in)"
MAX4380,2p,2910,1,,210M,485,20m,10n,20µ,Output,5.5m,4.5,11,$1.11000 (MAX4380EUT+T),5.28mm² (Single Chip Package) (MAX4380EXT+T),"Small-Outline Transistor Package,Single Chip Package"
MAX4381,2p,5366,2,,210M,485,20m,10n,20µ,Output,5.5m,4.5,11,$1.84000 (MAX4381EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4381EUB+),10-MINI_SO-N/A
MAX4382,2p,38722,3,,210M,485,20m,10n,20µ,Output,5.5m,4.5,11,$2.43000 (MAX4382ESD+T),30.876mm² (16-QSOP-150_MIL) (MAX4382EEE+),"16-QSOP-150_MIL,Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4383,2p,5319,4,,210M,485,20m,10n,20µ,Output,5.5m,4.5,11,$2.65000 (MAX4383ESD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX4383EUD+T),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4384,2p,2046,4,,210M,485,20m,10n,20µ,Output,5.5m,4.5,11,$2.65000 (MAX4384EUP+),45.195mm² (Thin Shrink Small-Outline Package) (MAX4384EUP+),Thin Shrink Small-Outline Package
MAX4470,,3906,1,,9k,2m,7m,120n,1.5n,Output Only,750n,1.8,5.5,$1.12000 (MAX4470EUK+T),5.28mm² (5-SC70-N/A) (MAX4470EXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4471,,3421,2,,9k,2m,7m,120n,1.5n,Output Only,750n,1.8,5.5,$1.08000 (MAX4471EKA+T),9mm² (8-SOT_23-N/A) (MAX4471EKA+T),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in)"
MAX4472,,35939,4,,9k,2m,7m,120n,1.5n,Output Only,750n,1.8,5.5,$1.88000 (MAX4472ESD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4472EUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
AD8074,,3,3,600M,600M,1.6k,27m,19.5n,9.5µ,,24m,9,11,$4.57500 (AD8074ARUZ-REEL),32.64mm² (16-Lead TSSOP) (AD8074ARUZ-REEL),16-Lead TSSOP
AD8075,,222,3,550M,550M,1.35k,40m,22n,10µ,,24m,9,11,$4.20000 (AD8075ARUZ-REEL7),32.64mm² (16-Lead TSSOP) (AD8075ARUZ-REEL),16-Lead TSSOP
LT1494,10f,1421,1,2.7k,,1m,375µ,185n,1n,Both,1µ,2.1,36,$2.92500 (LT1494CN8#PBF),14.7mm² (8-Lead MSOP) (LT1494IMS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT1672,10f,47,1,12k,,5m,375µ,185n,1n,Both,1.5µ,2.1,36,$3.01500 (LT1672CS8#PBF),14.7mm² (8-Lead MSOP) (LT1672CMS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT1673,10f,0,2,12k,,5m,375µ,185n,1n,Both,1.5µ,2.1,36,$4.60500 (LT1673CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1673CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1674,10f,0,4,12k,,5m,375µ,185n,1n,Both,1.5µ,2.1,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1674CS#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT6301,800f,26,4,200M,200M,600,5m,8n,4µ,,4m,8,27,,62.72mm² (28-Lead TSSOP w/ EP) (LT6301CFE#TRPBF),28-Lead TSSOP w/ EP
MAX4352,500f,12500,1,,80M,240,12m,15n,3µ,Output,620µ,2.7,5.25,$2.09000 (MAX4352EXK+T),5.28mm² (5-SC70-N/A) (MAX4352EXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4353,500f,11537,2,,80M,240,12m,15n,3µ,Output,620µ,2.7,5.25,,"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4353ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4452,500f,30652,1,,200M,95,12m,15n,3µ,Output,620µ,2.7,5.25,$1.80000 (MAX4452EUK+T),5.28mm² (5-SC70-N/A) (MAX4452EXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4453,500f,8673,2,,200M,95,12m,15n,3µ,Output,620µ,2.7,5.25,$2.02000 (MAX4453ESA+T),9mm² (8-SOT_23-N/A) (MAX4453EKA+),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in)"
MAX4454,500f,23263,4,,200M,95,12m,15n,3µ,Output,620µ,2.7,5.25,$2.77000 (MAX4454EUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4454EUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4481,1f,92490,1,,140k,80m,5.5m,100n,100p,Output Only,45µ,2.5,5.5,$0.60000 (MAX4481AUT+T),5.28mm² (Single Chip Package) (MAX4481AXT+),"Small-Outline Transistor Package,Single Chip Package"
AD8567,800f,1842,4,5M,,6,10m,25n,600n,Both,850µ,4,17,$1.86000 (AD8567ARUZ),16mm² (16-Lead LFCSP (4mm x 4mm w/ EP)) (AD8567ACPZ-REEL),"16-Lead LFCSP (4mm x 4mm w/ EP),14-Lead TSSOP"
AD8601,50f,6188,1,8.4M,,6,500µ,18n,60p,Both,750µ,2.7,5.5,$0.66780 (AD8601WDRTZ-REEL),9mm² (5-Lead SOT-23) (AD8601ARTZ-R2),5-Lead SOT-23
AD8604,50f,1245,4,8.4M,,6,600µ,18n,60p,Both,750µ,2.7,5.5,$1.62000 (AD8604DRZ),31mm² (16-Lead QSOP) (AD8604ARQZ),"14-Lead SOIC,16-Lead QSOP,14-Lead TSSOP"
LT1797,150f,2029,1,10M,,2.25,1.5m,20n,300n,Both,1.1m,2.1,12.6,$1.63500 (LT1797CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LT1797CS5#TRPBF),5-Lead TSOT-23
LTC2050,3f,0,1,3M,,2,3µ,,75p,"In to V-, Output",800µ,2.7,6,$2.16000 (LTC2050CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LTC2050CS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23,6-Lead TSOT-23"
LTC2052,,687,4,3M,,2,3µ,,75p,"In to V-, Output",850µ,2.7,6,$6.85500 (LTC2052CS#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LTC2052HVCGN#TRPBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LTC2052HV,,687,4,3M,,2,3µ,,75p,"In to V-, Output",850µ,2.7,11,$6.85500 (LTC2052CS#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LTC2052HVCGN#TRPBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
MAX4412,700f,16132,1,,500M,220,9m,13n,4µ,Output,1.7m,2.7,5.5,$1.83000 (MAX4412EXK+T),5.28mm² (5-SC70-N/A) (MAX4412EXK+T),"Small-Outline Transistor Package,5-SC70-N/A"
MAX4413,700f,,2,,500M,220,9m,13n,4µ,Output,1.7m,2.7,5.5,$2.26000 (MAX4413EKA+T),9mm² (8-SOT_23-N/A) (MAX4413EKA+T),8-SOT_23-N/A
MAX4414,600f,20890,1,,400M,200,6m,10n,4µ,Output,1.6m,2.7,5.5,$2.28000 (MAX4414ESA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4414ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4416,600f,12929,2,,400M,200,6m,10n,4µ,Output,1.6m,2.7,5.5,$2.50000 (MAX4416EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4416EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4417,600f,17471,2,,150M,470,6m,10n,4µ,Output,1.6m,2.7,5.5,$2.36000 (MAX4417EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4417EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4418,600f,5066,4,,400M,200,6m,10n,4µ,Output,1.6m,2.7,5.5,$3.45000 (MAX4418EUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4418EUD+),Thin Shrink Small-Outline Package
MAX4419,600f,,4,,150M,470,6m,10n,4µ,Output,1.6m,2.7,5.5,$3.24000 (MAX4419EUD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX4419EUD+),Thin Shrink Small-Outline Package
MAX4480,1f,44325,1,,140k,80m,5.5m,100n,100p,Output Only,45µ,2.5,5.5,$0.71000 (MAX4480AUK+T),5.28mm² (5-SC70-N/A) (MAX4480AXK+),"5-SOT_23-N/A,5-SC70-N/A"
MAX4482,1f,1317,2,,140k,80m,5.5m,100n,100p,Output Only,45µ,2.5,5.5,$1.05000 (MAX4482AKA+T),9mm² (8-SOT_23-N/A) (MAX4482AKA+),8-SOT_23-N/A
MAX4483,1f,13831,4,,140k,80m,5.5m,100n,100p,Output Only,45µ,2.5,5.5,$1.47000 (MAX4483AUD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX4483AUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4484,1f,38294,1,,7M,20,5m,29n,100p,Output Only,1.9m,2.7,5.5,$0.94000 (MAX4484AUK+T),9mm² (5-SOT_23-N/A) (MAX4484AUK+),5-SOT_23-N/A
MAX4486,1f,22946,2,,7M,20,7m,29n,100p,Output Only,1.9m,2.7,5.5,$1.10000 (MAX4486AUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4486AUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4487,1f,8746,4,,7M,20,9m,29n,100p,Output Only,1.9m,2.7,5.5,$1.99000 (MAX4487AUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4487AUD+),Thin Shrink Small-Outline Package
MAX4493,200f,179327,1,,5M,3,5m,8n,1µ,Output Only,770µ,4.5,11,$1.24000 (MAX4493AUK+T),5.28mm² (5-SC70-N/A) (MAX4493AXK+),"5-SOT_23-N/A,5-SC70-N/A"
OP727,130f,10859,2,700k,,200m,300µ,15n,10n,Output,290µ,3,30,$3.39000 (OP727ARZ-REEL),19.84mm² (8-Lead TSSOP) (OP727ARUZ),"8-Lead SOIC,8-Lead TSSOP"
OP747,130f,14508,4,700k,,200m,300µ,15n,10n,Output,290µ,3,30,$6.19500 (OP747ARZ),32.64mm² (14-Lead TSSOP) (OP747ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8018,10p,35,2,,130M,300,15m,4.5n,8µ,Output,9m,3.3,8,$5.73000 (AD8018ARUZ),31mm² (8-Lead SOIC) (AD8018ARZ),"8-Lead SOIC,14-Lead TSSOP"
AD8602,50f,18328,2,8.4M,,6,500µ,18n,60p,Both,750µ,2.7,5.5,$0.78387 (AD8602DRZ),31mm² (8-Lead SOIC) (AD8602ARZ),"8-Lead SOIC,8-Lead MSOP"
LT1491A,15f,537,4,180k,,60m,1m,50n,,Both,40µ,2,44,$5.53500 (LT1491ACN#PBF),15mm² (16-Lead DFN (5mm x 3mm w/ EP)) (LT1491AIDHC#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch),16-Lead DFN (5mm x 3mm w/ EP)"
LT1806,1.5p,1636,1,325M,,125,550µ,3.5n,4µ,Both,9m,2.5,12.6,$3.91500 (LT1806CS6#TRPBF),8.12mm² (6-Lead TSOT-23) (LT1806IS6#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23"
MAX4403,1f,15595,4,,800k,1,5.5m,36n,100p,Output Only,320µ,2.5,5.5,$1.27000 (MAX4403ASD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4403AUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4430,1.8p,76727,1,,180M,100,5m,2.8n,30µ,In to V-,11m,9,11,$4.46000 (MAX4430ESA+),9mm² (5-SOT_23-N/A) (MAX4430EUK+),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A"
MAX4432,1.8p,3110,2,,180M,100,5m,2.8n,30µ,In to V-,11m,9,11,$2.47000 (MAX4432EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4432EUA+)","Micro-MAX, Thin Shrink Small-Outline"
LT1395,6p,11,1,,400M,800,12m,4.5n,,,4.6m,3,12.6,$1.68000 (LT1395CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1395CS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23,6-Lead TSOT-23"
LT1469,600f,688,2,90M,,22,125µ,5n,40n,,4.1m,6,36,$7.95000 (LT1469CN8#PBF),16mm² (12-Lead DFN (4mm x 4mm w/ EP)) (LT1469ACDF#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),12-Lead DFN (4mm x 4mm w/ EP)"
LT1490A,15f,479,2,180k,,60m,500µ,50n,8n,Both,40µ,2,44,$3.22500 (LT1490ACN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1490ACDD#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1677,300f,630,1,7.2M,,2.5,60µ,3.2n,20n,Both,2.75m,2.5,44,$3.96000 (LT1677CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1677IS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1809,5p,493,1,160M,,300,2.5m,16n,8µ,Both,12.5m,2.5,12.6,$3.27000 (LT1809CS6#TRPBF),8.12mm² (6-Lead TSOT-23) (LT1809CS6#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23"
LT1881,30f,626,2,1M,,350m,50µ,14n,200p,Output,650µ,2.4,40,$5.19000 (LT1881CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1881ACS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1882,300f,0,4,1M,,350m,80µ,14n,500p,Output,650µ,2.4,40,$9.07500 (LT1882CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1882CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1884,50f,43,2,2M,,900m,50µ,9.5n,400p,Output,650µ,2.4,40,$5.07000 (LT1884CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1884CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1885,50f,331,4,2M,,900m,80µ,9.5n,900p,Output,650µ,2.4,40,$9.07500 (LT1885CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1885IS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LTC2051,,1435,2,3M,,2,3µ,,75p,"In to V-, Output",850µ,2.7,6,$3.81000 (LTC2051CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC2051CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,10-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LTC2051HV,,1435,2,3M,,2,3µ,,75p,"In to V-, Output",850µ,2.7,11,$3.81000 (LTC2051CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC2051CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,10-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
MAX4265,1p,21840,1,,400M,900,9m,8n,40µ,,28m,4.5,8,$3.39000 (MAX4265EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4265EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4292,50f,23663,2,,500k,200m,2.5m,70n,55n,Both,100µ,1.8,5.5,$1.83000 (MAX4292ESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4292EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline,N/A"
MAX4294,50f,17876,4,,500k,200m,2.5m,70n,55n,Both,100µ,1.8,5.5,$2.62000 (MAX4294EUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4294EUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4321,400f,5000,1,,5M,2,3.5m,22n,150n,Both,650µ,2.4,6.5,$1.09000 (MAX4321EUK+T),9mm² (5-SOT_23-N/A) (MAX4321EUK+),5-SOT_23-N/A
MAX4402,1f,57344,2,,800k,1,5.5m,36n,100p,Output Only,320µ,2.5,5.5,$0.87000 (MAX4402ASA+T),9mm² (8-SOT_23-N/A) (MAX4402AKA+),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
OP777,130f,45366,1,700k,,200m,200µ,15n,10n,Output,350µ,3,30,$2.28000 (OP777ARZ-REEL),31mm² (8-Lead SOIC) (OP777ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8024,8p,0,4,,200M,390,5m,3n,7.5µ,,17m,5,24,$7.98000 (AD8024ARZ),62mm² (16-Lead SOIC) (AD8024ARZ),16-Lead SOIC
LT1397,6p,753,4,,400M,800,12m,4.5n,,,4.6m,3,12.6,$3.45000 (LT1397CS#PBF),12mm² (14-Lead DFN (4mm x 3mm w/ EP)) (LT1397CDE#PBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch),14-Lead DFN (4mm x 3mm w/ EP)"
LT1784,300f,801,1,2.5M,,2.1,3.5m,25n,500n,Both,500µ,2,18,$1.63500 (LT1784CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1784IS5#TRPBF),"5-Lead TSOT-23,6-Lead TSOT-23"
LT1807,1.5p,0,2,325M,,125,550µ,3.5n,4µ,Both,9m,2.5,12.6,$5.55000 (LT1807CS8#TRPBF),14.7mm² (8-Lead MSOP) (LT1807CMS8#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT1810,5p,205,2,160M,,300,2.5m,16n,8µ,Both,12.5m,2.3,12.6,$4.35000 (LT1810CS8#PBF),14.7mm² (8-Lead MSOP) (LT1810CMS8#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
MAX4291,50f,15555,1,,500k,200m,2.5m,70n,55n,Both,100µ,1.8,5.5,$0.79000 (MAX4291EUK+T),5.28mm² (5-SC70-N/A) (MAX4291EXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4400,1f,20631,1,,800k,1,4.5m,36n,100p,Output Only,320µ,2.5,5.5,$0.56000 (MAX4400AUK+T),5.28mm² (5-SC70-N/A) (MAX4400AXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4401,1f,13145,1,,800k,1,4.5m,36n,100p,Output Only,320µ,2.5,5.5,$0.64000 (MAX4401AXT+T),5.28mm² (Single Chip Package) (MAX4401AXT+),Single Chip Package
MAX4451,1.8p,5814,2,,210M,485,26m,10n,20µ,Output,6.5m,4.5,11,$1.94000 (MAX4451ESA+T),9mm² (8-SOT_23-N/A) (MAX4451EKA+T),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in)"
MAX4491,1f,7,2,,10M,10,10m,12n,2.5n,Both,800µ,2.7,5.5,$1.74000 (MAX4491AKA+T),9mm² (8-SOT_23-N/A) (MAX4491AKA+),"8-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4492,1f,9448,4,,10M,10,10m,12n,2.5n,Both,800µ,2.7,5.5,$3.12000 (MAX4492ASD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4492AUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
AD8022,1.2p,9322,2,100M,130M,50,6m,2.5n,5µ,,4m,4.5,26,$4.39500 (AD8022ARMZ-REEL7),31mm² (8-Lead SOIC) (AD8022ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8061,1.2p,18030,1,90M,320M,650,6m,8.5n,9µ,"In to V-, Output",9.5m,2.7,8,$1.59000 (AD8061ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8061ARTZ-REEL7),"8-Lead SOIC,5-Lead SOT-23"
AD8062,1.2p,415,2,90M,320M,650,6m,8.5n,9µ,"In to V-, Output",9.5m,2.7,8,$2.79000 (AD8062ARZ-RL),31mm² (8-Lead SOIC) (AD8062ARZ-RL),"8-Lead SOIC,8-Lead MSOP"
AD8063,1.2p,639,1,90M,320M,650,6m,8.5n,9µ,"In to V-, Output",9.5m,2.7,8,$1.41404 (AD8063ARTZ-REEL7),9mm² (6-Lead SOT-23) (AD8063ARTZ-REEL7),"8-Lead SOIC,6-Lead SOT-23"
AD8551,2f,7439,1,1.5M,,400m,5µ,42n,50p,Both,975µ,2.7,5,$2.31000 (AD8551ARMZ-REEL),31mm² (8-Lead SOIC) (AD8551ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8552,2f,111,2,1.5M,,400m,5µ,42n,50p,Both,975µ,2.7,5,$3.64500 (AD8552ARUZ),19.84mm² (8-Lead TSSOP) (AD8552ARUZ-REEL),"8-Lead SOIC,8-Lead TSSOP"
AD8554,2f,5,4,1.5M,,400m,5µ,42n,50p,Both,975µ,2.7,5,$6.43500 (AD8554ARZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8554ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8571,2f,2940,1,1.5M,,400m,5µ,51n,50p,Both,975µ,2.7,5.5,$2.19000 (AD8571ARMZ),31mm² (8-Lead SOIC) (AD8571ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8572,2f,0,2,1.5M,,400m,5µ,51n,50p,Both,975µ,2.7,5.5,$3.48000 (AD8572ARUZ),19.84mm² (8-Lead TSSOP) (AD8572ARUZ),"8-Lead SOIC,8-Lead TSSOP"
AD8574,2f,1734,4,1.5M,,400m,5µ,51n,50p,Both,975µ,2.7,5.5,$6.27000 (AD8574ARUZ),32.64mm² (14-Lead TSSOP) (AD8574ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8614,1p,0,1,5.5M,,7.5,2.5m,11n,400n,Both,1.1m,4.5,18.5,$2.67000 (AD8614ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8614ARTZ-REEL7),5-Lead SOT-23
AD8644,1p,324,4,5.5M,,7.5,2.5m,12n,400n,Both,1.1m,5,18.5,$4.84500 (AD8644ARUZ),32.64mm² (14-Lead TSSOP) (AD8644ARUZ),"14-Lead SOIC,14-Lead TSSOP"
LT1396,6p,164,2,,400M,800,12m,4.5n,,,4.6m,3,12.6,$2.65500 (LT1396CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1396CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1637,80f,261,1,1M,,350m,350µ,27n,50n,Both,190µ,2.7,44,$2.68500 (LT1637CN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1637CDD#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1782,50f,1206,1,200k,,70m,800µ,50n,15n,Both,40µ,2.2,18,$2.07000 (LT1782CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LT1782HS5#TRMPBF),"5-Lead TSOT-23,6-Lead TSOT-23"
LT1783,140f,7826,1,1.25M,,420m,800µ,20n,80n,Both,210µ,2.2,18,$1.80000 (LT1783CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1783CS5#TRMPBF),"5-Lead TSOT-23,6-Lead TSOT-23"
