Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
AD8630,5f,1651,4,2.5M,,1,5µ,22n,300p,Both,850µ,2.7,5.5,$5.47500 (AD8630ARZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8630ARUZ-REEL),"14-Lead SOIC,14-Lead TSSOP"
AD8691,50f,19428,1,10M,,5,2m,6.5n,1p,"In to V-, Output",1.05m,2.7,5.5,$0.87609 (AD8691AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8691AKSZ-REEL7),"5-Lead SC70,5-Lead TSOT"
ADA4851-4,2.5p,2554,4,70M,105M,190,3.5m,10n,4µ,"In to V-, Output",2.9m,2.7,12,$2.23500 (ADA4851-4YRUZ),32.64mm² (14-Lead TSSOP) (ADA4851-4WYRUZ-R7),14-Lead TSSOP
LT6557,20p,138,3,500M,,2.2k,40m,12n,,,22.5m,3,7.5,$4.51500 (LT6557CDHC#TRPBF),15mm² (16-Lead DFN (5mm x 3mm w/ EP)) (LT6557CDHC#PBF),"16-Lead SSOP (Narrow 0.15 Inch),16-Lead DFN (5mm x 3mm w/ EP)"
MAX4030E,,47806,2,,144M,115,26m,,1µ,"In to V-, Output",12m,4.5,5,$1.18000 (MAX4030EESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4030EEUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4031E,,12598,3,,144M,115,26m,,1µ,"In to V-, Output",12m,4.5,5,$1.53000 (MAX4031EEUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4031EEUD+T),Thin Shrink Small-Outline Package
AD8629,5f,6115,2,2.5M,,1,5µ,22n,100p,Both,850µ,2.7,5.5,$3.06000 (AD8629ARMZ-REEL),31mm² (8-Lead SOIC) (AD8629TRZ-EP-R7),"8-Lead SOIC,8-Lead MSOP"
AD8641,500a,6558,1,3.5M,,3,750µ,27.5n,1p,"In to V-, Output",290µ,5,26,$2.59500 (AD8641AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8641AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC"
AD8652,4f,4757,2,50M,50M,41,300µ,4.5n,10p,Both,9m,2.7,5.5,$3.84000 (AD8652ARMZ),31mm² (8-Lead SOIC) (AD8652ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
AD8692,50f,7299,2,10M,,5,2m,6.5n,1p,"In to V-, Output",1.05m,2.7,5.5,$1.13738 (AD8692ARMZ-REEL),31mm² (8-Lead SOIC) (AD8692ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
ADA4851-1,2.5p,21822,1,70M,105M,190,3.5m,10n,4µ,"In to V-, Output",2.9m,2.7,12,$1.07590 (ADA4851-1YRJZ-RL7),9mm² (6-Lead SOT-23) (ADA4851-1YRJZ-RL7),6-Lead SOT-23
MAX9913,1f,56780,2,,200k,100m,1m,400n,10p,Both,4µ,1.8,5.5,$1.04000 (MAX9913EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX9913EUB+T),10-MINI_SO-N/A
MAX9917,1f,,2,,1M,500m,1m,160n,10p,Both,20µ,1.8,5.5,$1.04000 (MAX9917EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX9917EUB+),10-MINI_SO-N/A
AD8045,3p,7871,1,400M,1G,1.35k,1m,3n,6.3µ,,16m,3.3,12,$2.80500 (AD8045ARDZ-REEL7),9mm² (8-Lead LFCSP (3mm x 3mm w/ EP)) (AD8045ACPZ-R2),"8-Lead LFCSP (3mm x 3mm w/ EP),8-Lead SOIC w/ EP"
MAX4036,,212881,1,,4k,400µ,2m,500n,10p,Output Only,800n,1.4,3.6,$0.91000 (MAX4036EXK+T),5.28mm² (5-SC70-N/A) (MAX4036AAXK+T),5-SC70-N/A
AD8618,50f,944,4,24M,,12,60µ,7n,1p,Both,2m,2.7,5.5,$4.41000 (AD8618ARZ-REEL),32.64mm² (14-Lead TSSOP) (AD8618ARUZ),"14-Lead SOIC,14-Lead TSSOP"
LT6013,150f,1,1,1.6M,,200m,35µ,9.5n,250p,Output,145µ,2.7,40,$2.05500 (LT6013CS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6013ACDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6554,3.5p,21,3,650M,,2.5k,35m,20n,50µ,,8m,4,13.2,$4.53000 (LT6554CGN#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6554CGN#TRPBF),16-Lead SSOP (Narrow 0.15 Inch)
