Part Number,Current Noise Density (typ),GBP (typ) Hz,BW -3 dB (typ) Hz,Slew Rate (typ) V/us,Vos (max) V,VNoise Density (typ) V/rtHz,Ibias (max) A,Rail to Rail,Iq/Amp (typ) A,Vs span (min) V,Vs span (max) V
LTC6085,0.00000000000000056,1500000,,0.5,0.00075,0.000000031,0.00000000004,Both,0.00011,2.5,5.5
AD8506,0.000000000000015,95000,,0.013,0.0025,0.000000045,0.00000000001,Both,0.00002,1.8,5
AD8638,0.000000000000001,1500000,,2,0.000009,0.00000006,0.000000000075,In to V- Output,0.0015,4.5,16
AD8647,0.000000000000001,24000000,,11,0.0025,0.000000006,0.000000000001,Both,0.002,2.7,5.5
AD8669,0.00000000000005,540000,,0.3,0.0003,0.000000021,0.000000000045,Output,0.000285,5,16
AD8646,0.000000000000001,24000000,,11,0.0025,0.000000006,0.000000000001,Both,0.002,2.7,5.5
AD8663,0.00000000000005,540000,,0.3,0.0003,0.000000021,0.000000000045,Output,0.000285,5,16
ADA4311-1,0.000000000017,,310000000,1050,0.003,0.0000000024,0.000016,,0.0118,12,12
LTC6082,0.0000000000000005,3600000,,1,0.00007,0.000000013,0.000000000001,Both,0.00033,2.7,5.5
LTC6087,0.00000000000000056,14000000,,7.2,0.00075,0.000000012,0.00000000004,Both,0.00105,2.7,5.5
LTC6088,0.00000000000000056,14000000,,7.2,0.00075,0.000000012,0.00000000004,Both,0.00105,2.7,5.5
RH1128M,,20000000,,15,0.00008,0.000000001,0.0000004,,0.0076,8,44
AD8539,,430000,,0.4,0.000015,0.000000052,0.00000000006,Both,0.00021,2.7,5
AD8667,0.00000000000005,540000,,0.3,0.0003,0.000000021,0.000000000045,Output,0.000285,5,16
ADA4000-1,0.00000000000001,5000000,,20,0.0017,0.000000016,0.00000000004,In to V+,0.00165,8,36
ADA4000-2,0.00000000000001,5000000,,20,0.0017,0.000000016,0.00000000004,In to V+,0.00165,8,36
ADA4000-4,0.00000000000001,5000000,,20,0.0017,0.000000016,0.00000000004,In to V+,0.00165,8,36
AD8502,0.0000000000001,7000,,0.004,0.003,0.00000019,0.00000000001,Both,0.00000075,1.8,5
AD8504,0.0000000000001,7000,,0.004,0.003,0.00000019,0.00000000001,Both,0.00000075,1.8,5
AD8599,0.000000000002,10000000,,16,0.00012,0.00000000107,0.0000002,,0.0057,9,36
ADTL082,0.000000000000001,5000000,,20,0.0055,0.000000016,0.0000000001,In to V+,0.0012,8,36
ADTL084,0.000000000000001,5000000,,20,0.0055,0.000000016,0.0000000001,In to V+,0.0012,8,36
AD8392A,0.0000000000076,,37000000,515,0.004,0.0000000025,0.00001,,0.0058,10,24
AD8665,0.0000000000001,4000000,,3.5,0.0025,0.000000008,0.000000000001,In to V- Output,0.00155,5,16
AD8676,0.0000000000003,10000000,,2.5,0.00005,0.0000000028,0.000000002,Output,0.0029,10,30
AD8682,0.00000000000001,3500000,,9,0.001,0.000000036,0.00000000002,In to V+,0.00021,9,36
AD8684,0.00000000000001,3500000,,9,0.001,0.000000036,0.00000000002,In to V+,0.00021,9,36
ADA4310-1,0.0000000000218,,190000000,820,,0.00000000285,,,0.0076,5,12
ADA4853-3,0.0000000000022,55000000,100000000,120,0.0041,0.000000022,0.0000017,In to V- Output,0.0014,2.65,5
LTC6240,0.00000000000000056,18000000,,10,0.000175,0.000000007,0.000000000001,In to V- Output,0.002,2.8,6
LTC6240HV,0.00000000000000056,18000000,,10,0.000175,0.000000007,0.000000000001,In to V- Output,0.002,2.8,12
AD8664,0.0000000000001,4000000,,3.5,0.00016,0.00000001,0.000000000001,In to V- Output,0.00155,5,16
AD8666,0.000000000000001,4000000,,3.5,0.0025,0.000000008,0.000000000001,In to V- Output,0.00155,5,16
ADA4853-2,0.0000000000022,55000000,100000000,120,0.0041,0.000000022,0.0000017,In to V- Output,0.0014,2.65,5
LT6003,0.000000000000012,2000,,0.0008,0.0005,0.000000325,0.00000000009,Both,0.00000085,1.6,16
LT6004,0.000000000000012,2000,,0.0008,0.0005,0.000000325,0.00000000009,Both,0.00000085,1.6,16
LT6005,0.000000000000012,2000,,0.0008,0.00065,0.000000325,0.00000000009,Both,0.00000085,1.6,16
LT6559,0.000000000006,,300000000,500,0.01,0.0000000045,,,0.0039,4,12
RH1028M,0.0000000000047,75000000,,15,0.00008,0.000000001,0.0000004,,0.0076,8,44
AD8500,0.0000000000001,7000,,0.004,0.001,0.00000019,0.00000000001,Both,0.00000075,1.8,5
AD8662,0.0000000000001,4000000,,3.5,0.00016,0.00000001,0.000000000001,In to V- Output,0.0014,5,16
AD8668,,4000000,,3.5,0.0025,0.000000008,0.000000000001,In to V- Output,0.00155,5,16
ADA4860-1,0.0000000000077,,800000000,790,0.013,0.000000004,0.00001,,0.006,5,12
LT6000,0.000000000000025,50000,,0.015,0.00075,0.000000075,0.000000005,Both,0.000013,1.8,18
LT6411,,650000000,650000000,3300,0.01,0.000000008,,,0.016,4.5,12.6
LT6558,,550000000,,2200,0.045,,,,0.0225,3,7.5
LTC6244,0.00000000000000056,50000000,,35,0.0001,0.000000008,0.000000000075,In to V- Output,0.00625,2.8,6
LTC6244HV,0.00000000000000056,50000000,,35,0.0001,0.000000008,0.000000000075,In to V- Output,0.00625,2.8,12
AD8538,,430000,,0.4,0.000013,0.00000005,0.000000000025,Both,0.00018,2.7,5
AD8613,0.00000000000005,350000,,0.1,0.0022,0.000000022,0.000000000001,Both,0.000038,1.8,5
AD8648,0.000000000000001,24000000,,11,0.0025,0.000000006,0.000000000001,Both,0.002,2.7,5.5
