Part Number,Current Noise Density (typ),GBP (typ) Hz,BW -3 dB (typ) Hz,Slew Rate (typ) V/us,Vos (max) V,VNoise Density (typ) V/rtHz,Ibias (max) A,Rail to Rail,Iq/Amp (typ) A,Vs span (min) V,Vs span (max) V
LT1881,0.00000000000003,1000000,,0.35,0.00005,0.000000014,0.0000000002,Output,0.00065,2.4,40
LT1882,0.0000000000003,1000000,,0.35,0.00008,0.000000014,0.0000000005,Output,0.00065,2.4,40
LT1884,0.00000000000005,2000000,,0.9,0.00005,0.0000000095,0.0000000004,Output,0.00065,2.4,40
LT1885,0.00000000000005,2000000,,0.9,0.00008,0.0000000095,0.0000000009,Output,0.00065,2.4,40
LTC2051,,3000000,,2,0.000003,,0.000000000075,In to V- Output,0.00085,2.7,6
LTC2051HV,,3000000,,2,0.000003,,0.000000000075,In to V- Output,0.00085,2.7,11
MAX4265,0.000000000001,,400000000,900,0.009,0.000000008,0.00004,,0.028,4.5,8
MAX4292,0.00000000000005,,500000,0.2,0.0025,0.00000007,0.000000055,Both,0.0001,1.8,5.5
MAX4294,0.00000000000005,,500000,0.2,0.0025,0.00000007,0.000000055,Both,0.0001,1.8,5.5
MAX4321,0.0000000000004,,5000000,2,0.0035,0.000000022,0.00000015,Both,0.00065,2.4,6.5
MAX4402,0.000000000000001,,800000,1,0.0055,0.000000036,0.0000000001,Output Only,0.00032,2.5,5.5
OP777,0.00000000000013,700000,,0.2,0.0002,0.000000015,0.00000001,Output,0.00035,3,30
AD8024,0.000000000008,,200000000,390,0.005,0.000000003,0.0000075,,0.017,5,24
LT1397,0.000000000006,,400000000,800,0.012,0.0000000045,,,0.0046,3,12.6
LT1784,0.0000000000003,2500000,,2.1,0.0035,0.000000025,0.0000005,Both,0.0005,2,18
LT1807,0.0000000000015,325000000,,125,0.00055,0.0000000035,0.000004,Both,0.009,2.5,12.6
LT1810,0.000000000005,160000000,,300,0.0025,0.000000016,0.000008,Both,0.0125,2.3,12.6
MAX4291,0.00000000000005,,500000,0.2,0.0025,0.00000007,0.000000055,Both,0.0001,1.8,5.5
MAX4400,0.000000000000001,,800000,1,0.0045,0.000000036,0.0000000001,Output Only,0.00032,2.5,5.5
MAX4401,0.000000000000001,,800000,1,0.0045,0.000000036,0.0000000001,Output Only,0.00032,2.5,5.5
MAX4451,0.0000000000018,,210000000,485,0.026,0.00000001,0.00002,Output,0.0065,4.5,11
MAX4491,0.000000000000001,,10000000,10,0.01,0.000000012,0.0000000025,Both,0.0008,2.7,5.5
MAX4492,0.000000000000001,,10000000,10,0.01,0.000000012,0.0000000025,Both,0.0008,2.7,5.5
AD8022,0.0000000000012,100000000,130000000,50,0.006,0.0000000025,0.000005,,0.004,4.5,26
AD8061,0.0000000000012,90000000,320000000,650,0.006,0.0000000085,0.000009,In to V- Output,0.0095,2.7,8
AD8062,0.0000000000012,90000000,320000000,650,0.006,0.0000000085,0.000009,In to V- Output,0.0095,2.7,8
AD8063,0.0000000000012,90000000,320000000,650,0.006,0.0000000085,0.000009,In to V- Output,0.0095,2.7,8
AD8551,0.000000000000002,1500000,,0.4,0.000005,0.000000042,0.00000000005,Both,0.000975,2.7,5
AD8552,0.000000000000002,1500000,,0.4,0.000005,0.000000042,0.00000000005,Both,0.000975,2.7,5
AD8554,0.000000000000002,1500000,,0.4,0.000005,0.000000042,0.00000000005,Both,0.000975,2.7,5
AD8571,0.000000000000002,1500000,,0.4,0.000005,0.000000051,0.00000000005,Both,0.000975,2.7,5.5
AD8572,0.000000000000002,1500000,,0.4,0.000005,0.000000051,0.00000000005,Both,0.000975,2.7,5.5
AD8574,0.000000000000002,1500000,,0.4,0.000005,0.000000051,0.00000000005,Both,0.000975,2.7,5.5
AD8614,0.000000000001,5500000,,7.5,0.0025,0.000000011,0.0000004,Both,0.0011,4.5,18.5
AD8644,0.000000000001,5500000,,7.5,0.0025,0.000000012,0.0000004,Both,0.0011,5,18.5
LT1396,0.000000000006,,400000000,800,0.012,0.0000000045,,,0.0046,3,12.6
LT1637,0.00000000000008,1000000,,0.35,0.00035,0.000000027,0.00000005,Both,0.00019,2.7,44
LT1782,0.00000000000005,200000,,0.07,0.0008,0.00000005,0.000000015,Both,0.00004,2.2,18
LT1783,0.00000000000014,1250000,,0.42,0.0008,0.00000002,0.00000008,Both,0.00021,2.2,18
LT1886,0.000000000002,700000000,,200,0.004,0.000000006,0.000004,,0.007,4,13.2
MAX4076,0.0000000000000011,,230000,0.09,0.0035,0.00000011,0.0000000002,Output Only,0.000045,2.5,5.5
MAX4077,0.0000000000000011,,230000,0.09,0.0035,0.00000011,0.0000000002,Output Only,0.000045,2.5,5.5
MAX4078,0.0000000000000011,,230000,0.09,0.0035,0.00000011,0.0000000002,Output Only,0.000045,2.5,5.5
AD8016,0.000000000018,,380000000,1000,0.003,0.0000000026,0.000075,,0.0125,6,26
LT1792,0.00000000000001,5600000,,3.4,0.0006,0.0000000042,0.0000000008,,0.0042,10,40
LT1793,0.0000000000000008,4200000,,3.4,0.0008,0.000000006,0.00000000001,,0.0042,10,40
LT1795,0.000000000002,,65000000,900,0.013,0.0000000036,,,0.029,10,36
LT1813,0.000000000001,100000000,,750,0.0015,0.000000008,0.000004,,0.003,2.5,12.6
LT1813HV,0.000000000001,100000000,,750,0.0015,0.000000008,0.000004,,0.003,2.5,13.5
MAX406,,,4000,0.005,0.0005,0.00000015,0.00000000001,Output Only,0.000001,2.5,10
MAX407,,,8000,0.005,0.003,0.00000015,0.00000000001,Output Only,0.000001,2.5,10
MAX409,,,150000,0.08,0.0005,0.00000015,0.00000000001,Output Only,0.000001,2.5,10
MAX410,0.0000000000012,,28000000,4.5,0.00025,0.0000000015,0.00000015,,0.0025,2.4,10.5
MAX412,0.0000000000012,,28000000,4.5,0.00025,0.0000000015,0.00000015,,0.0025,2.4,10.5
MAX417,,,150000,0.08,0.003,0.00000015,0.00000000001,Output Only,0.000001,2.5,10
MAX4450,0.0000000000018,,210000000,485,0.026,0.00000001,0.00002,Output,0.0065,4.5,11
MAX4490,0.000000000000001,,10000000,10,0.01,0.000000012,0.0000000025,Both,0.0008,2.7,5.5
MAX492,0.0000000000001,,500000,0.2,0.0005,0.000000025,0.00000006,Both,0.00015,2.7,6
MAX494,0.0000000000001,,500000,0.2,0.0005,0.000000025,0.00000006,Both,0.00015,2.7,6
RH1498M,,10000000,,6,0.0008,0.000000012,0.00000025,Both,0.0018,4.5,36
RH1499M,,10000000,,6,0.0008,0.000000012,0.00000025,Both,0.0018,4.5,36
AD8529,0.0000000000004,8000000,,2.9,0.001,0.00000001,0.0000003,In to V- Output,0.0012,2.7,12
AD8591,0.00000000000005,3000000,,5,0.025,0.00000003,0.00000000005,Both,0.00125,2.5,6
LT1398,0.000000000006,,300000000,800,0.012,0.0000000045,,,0.0046,3,12.6
LT1812,0.000000000001,100000000,,750,0.0015,0.000000008,0.000004,,0.003,2.5,12.6
MAX4281,0.000000000000004,,2000000,0.7,0.002,0.00000009,0.00000001,Output Only,0.0003,2.5,5.5
MAX4282,0.000000000000004,,2000000,0.7,0.002,0.00000009,0.00000001,Output Only,0.0003,2.5,5.5
AD8014,0.000000000005,,480000000,4600,0.005,0.0000000035,0.000015,,0.00115,4.5,12
AD8017,0.000000000023,,160000000,1600,0.003,0.0000000019,0.000045,,0.007,4.4,12
AD8519,0.0000000000004,8000000,,2.9,0.001,0.00000001,0.0000003,In to V- Output,0.0012,2.7,12
AD8541,0.0000000000001,1000000,,0.92,0.006,0.000000038,0.00000000006,Both,0.000065,2.5,5
AD8542,0.0000000000001,1000000,,0.92,0.006,0.000000038,0.00000000006,Both,0.000065,2.5,5
AD8544,0.0000000000001,1000000,,0.92,0.006,0.000000038,0.00000000006,Both,0.000065,2.5,5
AD8592,0.00000000000005,3000000,,5,0.025,0.00000003,0.00000000005,Both,0.00125,2.5,6
LT1468,0.0000000000006,90000000,,22,0.000075,0.000000005,0.00000004,,0.0036,6,36
AD8057,0.0000000000007,100000000,325000000,1150,0.005,0.000000007,0.0000025,,0.0075,3,12
AD8058,0.0000000000007,100000000,325000000,1150,0.005,0.000000007,0.0000025,,0.0075,3,12
LT1636,0.000000000000035,200000,,0.07,0.000225,0.000000052,0.000000008,Both,0.000042,2.6,44
LT1638,0.0000000000003,1200000,,0.38,0.0007,0.00000002,0.00000005,Both,0.00017,2.5,44
LT1639,0.0000000000003,1075000,,0.38,0.0006,0.00000002,,Both,0.00017,2.5,44
LTC1542,,12000,,8,0.0007,,0.000000001,In to V- Output,0.000005,2.5,12.6
MAX4040,0.00000000000005,,90000,0.04,0.0015,0.00000007,0.00000001,Both,0.000012,2.4,5.5
MAX4041,0.00000000000005,,90000,0.04,0.0015,0.00000007,0.00000001,Both,0.000012,2.4,5.5
MAX4042,0.00000000000005,,90000,0.04,0.0015,0.00000007,0.00000001,Both,0.000012,2.4,5.5
MAX4043,0.00000000000005,,90000,0.04,0.0015,0.00000007,0.00000001,Both,0.000012,2.4,5.5
MAX4322,0.0000000000004,,5000000,2,0.0025,0.000000022,0.00000015,Both,0.00073,2.4,6.5
MAX4323,0.0000000000004,,5000000,2,0.0025,0.000000022,0.00000015,Both,0.00073,2.4,6.5
MAX4326,0.0000000000004,,5000000,2,0.0025,0.000000022,0.00000015,Both,0.00073,2.4,6.5
MAX4327,0.0000000000004,,5000000,2,0.002,0.000000022,0.00000015,Both,0.00073,2.4,6.5
LT1630,0.0000000000009,30000000,,9.2,0.000525,0.000000006,0.000001,Both,0.0035,2.6,36
LT1631,0.0000000000009,30000000,,9.2,0.000525,0.000000006,0.000001,Both,0.0035,2.6,36
LT1632,0.0000000000016,45000000,,27,0.00135,0.000000012,0.0000022,Both,0.0043,2.6,36
LT1633,0.0000000000016,45000000,,27,0.00135,0.000000012,0.0000022,Both,0.0043,2.6,36
MAX4240,0.00000000000005,,90000,0.04,0.0014,0.00000007,0.000000006,Both,0.000014,1.8,5.5
MAX4241,0.00000000000005,,90000,0.04,0.00075,0.00000007,0.000000006,Both,0.000014,1.8,5.5
MAX4242,0.00000000000005,,90000,0.04,0.00088,0.00000007,0.000000006,Both,0.000014,1.8,5.5
MAX4243,0.00000000000005,,90000,0.04,0.00088,0.00000007,0.000000006,Both,0.000014,1.8,5.5
MAX4252,0.0000000000000005,,3000000,0.3,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4253,0.0000000000000005,,3000000,0.3,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
LT1399,0.000000000006,,300000000,800,0.012,0.0000000045,,,0.0046,3,12.6
LT1399HV,0.000000000006,,300000000,800,0.012,0.0000000045,,,0.0046,3,15.5
MAX4104,0.0000000000032,,625000000,400,0.006,0.0000000021,0.00007,,0.02,7,11
MAX4105,0.0000000000032,,410000000,1400,0.006,0.0000000021,0.00007,,0.02,7,11
MAX4249,0.0000000000000005,,22000000,2.1,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4257,0.0000000000000005,,22000000,2.1,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4304,0.0000000000032,,740000000,1000,0.006,0.0000000021,0.00007,,0.02,7,11
MAX4305,0.0000000000032,,340000000,1400,0.006,0.0000000021,0.00007,,0.02,7,11
AD8010,0.00000000002,,230000000,800,0.012,0.000000002,0.000135,,0.0155,9,12
AD8012,0.000000000015,,350000000,2250,0.004,0.0000000025,0.000012,,0.0017,3,12
AD8051,0.0000000000009,80000000,110000000,170,0.01,0.000000016,0.0000025,In to V- Output,0.0048,3,12
AD8052,0.0000000000009,80000000,110000000,170,0.01,0.000000016,0.0000025,In to V- Output,0.0048,3,12
AD8054,0.00000000000085,90000000,160000000,145,0.012,0.000000016,0.0000045,In to V- Output,0.0034,3,12
AD825,0.00000000000001,26000000,46000000,140,0.002,0.000000012,0.00000000004,,0.0065,10,36
LTC1541,,12000,,,0.0007,,0.000000001,In to V- Output,0.000005,2.5,12.6
MAX4250,0.0000000000000005,,3000000,0.3,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4251,0.0000000000000005,,3000000,0.3,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4255,0.0000000000000005,,22000000,2.1,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
MAX4256,0.0000000000000005,,22000000,2.1,0.00075,0.0000000089,0.0000000001,Output Only,0.00042,2.4,5.5
AD8023,0.000000000014,,125000000,1200,0.005,0.000000002,0.000045,,0.0062,4.2,15
AD8055,0.000000000001,300000000,300000000,1400,0.005,0.000000006,0.0000012,,0.0065,8,12
AD8056,0.000000000001,300000000,300000000,1400,0.005,0.000000006,0.0000012,,0.006,8,12
LT1497,0.000000000002,,59000000,900,0.015,0.000000003,,,0.006,4,36
MAX4012,0.0000000000013,,200000000,600,0.02,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4016,0.0000000000013,,150000000,600,0.02,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4018,0.0000000000013,,150000000,600,0.02,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4020,0.0000000000013,,150000000,600,0.02,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4225,0.000000000003,,1000000000,1100,0.005,0.000000002,0.00001,,0.006,5.7,11
MAX4226,0.000000000003,,1000000000,1100,0.005,0.000000002,0.00001,,0.006,5.7,11
MAX4228,0.000000000003,,600000000,1700,0.005,0.000000002,0.00001,,0.006,5.7,11
LT1219L,0.00000000000009,150000,,0.05,0.00009,0.000000033,0.00000007,Both,0.00037,2,16
LT1467L,0.00000000000005,120000,,0.04,0.00039,0.000000045,0.000000014,Both,0.00006,2,16
LT1492,0.00000000000014,4500000,,1.8,0.00018,0.0000000165,0.0000001,In to V-,0.000425,2.1,36
LT1493,0.00000000000014,4500000,,1.8,0.00013,0.0000000165,0.0000001,In to V-,0.000425,2.1,36
LT1496,0.00000000000001,2700,,0.001,0.000375,0.000000185,0.000000001,Both,0.000001,2.1,36
LT1635,0.00000000000005,175000,,0.045,0.0013,0.00000005,0.0000000045,In to V- Output,0.00013,1.1,14
MAX4162,,,200000,0.115,0.003,0.00000008,0.0000000001,Both,0.000025,2.5,10
MAX4163,,,200000,0.115,0.004,0.00000008,0.0000000001,Both,0.000025,2.5,10
MAX4165,0.0000000000004,,5000000,2,0.00085,0.000000026,0.00000015,Both,0.0013,2.7,6.5
MAX4166,0.0000000000004,,5000000,2,0.00085,0.000000026,0.00000015,Both,0.0013,2.7,6.5
MAX4167,0.0000000000004,,5000000,2,0.00085,0.000000026,0.00000015,Both,0.0013,2.7,6.5
MAX4168,0.0000000000004,,5000000,2,0.00085,0.000000026,0.00000015,Both,0.0013,2.7,6.5
MAX4223,0.000000000003,,1000000000,1100,0.004,0.000000002,0.00001,,0.006,5.7,11
MAX4224,0.000000000003,,600000000,1700,0.004,0.000000002,0.00001,,0.006,5.7,11
MAX4330,0.00000000000026,,3000000,1.5,0.0007,0.000000028,0.000000065,Both,0.000245,2.4,6.5
MAX4331,0.00000000000026,,3000000,1.5,0.0007,0.000000028,0.000000065,Both,0.000245,2.4,6.5
MAX4332,0.00000000000026,,3000000,1.5,0.001,0.000000028,0.000000065,Both,0.000245,2.4,6.5
MAX4333,0.00000000000026,,3000000,1.5,0.001,0.000000028,0.000000065,Both,0.000245,2.4,6.5
LT1218L,0.00000000000009,300000,,0.1,0.00009,0.000000033,0.00000007,Both,0.00037,2,16
LT1466L,0.00000000000005,120000,,0.04,0.00039,0.000000045,0.000000014,Both,0.00006,2,16
LT1495,0.00000000000001,2700,,0.001,0.000375,0.000000185,0.000000001,Both,0.000001,2.1,36
MAX4212,0.0000000000013,,300000000,600,0.012,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4213,0.0000000000013,,300000000,600,0.012,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4216,0.0000000000013,,200000000,600,0.012,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4218,0.0000000000013,,200000000,600,0.012,0.00000001,0.00002,Output,0.0055,3.15,11
MAX4220,0.0000000000013,,200000000,600,0.012,0.00000001,0.00002,Output,0.0055,3.15,11
OP481,0.000000000000999,105000,,0.028,0.0015,0.000000085,0.00000001,Output,0.000005,2.7,12
AD8005,0.0000000000091,,270000000,1500,0.03,0.000000004,0.00001,,0.0004,8,12
AD8009,0.000000000046,,1000000000,5500,0.005,0.0000000019,0.00015,,0.014,5,12
AD8079,0.000000000002,260000000,260000000,800,0.015,0.000000002,0.000006,,0.01,6,12
AD8531,0.00000000000005,3000000,,5,0.025,0.00000003,0.00000000005,Both,0.00125,3,6
LT1369,0.00000000000007,160000,,0.065,0.0008,0.000000029,0.000000035,Both,0.00034,2,36
LT1462,0.0000000000000005,175000,,0.13,0.0008,0.000000076,0.000000000002,,0.000028,10,40
LT2078,0.00000000000002,200000,,0.07,0.00007,0.000000028,0.000000008,In to V-,0.000035,2.3,44
LT2079,0.00000000000002,200000,,0.07,0.00011,0.000000028,0.000000008,In to V-,0.000035,2.3,44
LT2178,0.00000000000001,60000,,0.025,0.00007,0.000000049,0.000000005,In to V-,0.000013,2.2,44
MAX4122,0.0000000000004,,5000000,2,0.0015,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4123,0.0000000000004,,5000000,2,0.0006,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4124,0.0000000000004,,25000000,10,0.0015,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4125,0.0000000000004,,25000000,10,0.0006,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4126,0.0000000000004,,5000000,2,0.00075,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4128,0.0000000000004,,25000000,10,0.00075,0.000000022,0.00000015,Both,0.000725,2.7,6.5
MAX4130,0.0000000000004,,10000000,4,0.0015,0.000000022,0.00000015,Both,0.001,2.7,6.5
MAX4131,0.0000000000004,,10000000,4,0.0006,0.000000022,0.00000015,Both,0.001,2.7,6.5
MAX4132,0.0000000000004,,10000000,4,0.00075,0.000000022,0.00000015,Both,0.001,2.7,6.5
OP162,0.0000000000004,15000000,,13,0.000325,0.0000000095,0.0000005,In to V- Output,0.0006,2.7,12
OP184,0.0000000000004,4250000,,4,0.0001,0.0000000039,0.00000045,Both,0.002,3,36
OP262,0.0000000000004,15000000,,13,0.000325,0.0000000095,0.0000005,In to V- Output,0.000775,2.7,12
OP281,0.000000000000999,105000,,0.028,0.0015,0.000000075,0.00000001,Output,0.000005,2.7,12
AD8031,0.0000000000024,50000000,80000000,35,0.0015,0.000000015,0.000002,Both,0.0009,2.7,12
AD8032,0.0000000000024,50000000,80000000,35,0.0015,0.000000015,0.000002,Both,0.0009,2.7,12
AD8072,0.000000000006,,100000000,500,0.006,0.000000003,0.000012,,0.003,5,12
AD8073,0.000000000006,,100000000,500,0.006,0.000000003,0.000012,,0.003,5,12
AD8534,0.00000000000005,3000000,,5,0.025,0.00000003,0.00000000005,Both,0.00125,3,6
LT1210,0.000000000002,,66000000,900,0.015,0.000000003,,,0.035,8,36
LT1351,0.0000000000005,3000000,,200,0.0006,0.000000014,0.00000005,,0.00025,5,36
LT1463,0.0000000000000005,175000,,0.13,0.0008,0.000000076,0.000000000002,,0.000028,10,40
LT1465,0.0000000000000004,1000000,,0.9,0.0008,0.000000024,0.000000000002,,0.000145,10,40
OP196,0.00000000000019,450000,,0.3,0.0003,0.000000026,0.00000005,Both,0.00006,3,12
OP462,0.0000000000004,15000000,,13,0.000325,0.0000000095,0.0000005,In to V- Output,0.000775,2.7,12
AD8532,0.00000000000005,3000000,,5,0.025,0.00000003,0.00000000005,Both,0.00125,3,6
LT1353,0.0000000000005,3000000,,200,0.0006,0.000000014,0.00000005,,0.00025,5,36
LT1464,0.0000000000000004,1000000,,0.9,0.0008,0.000000024,0.000000000002,,0.000145,10,40
LT1207,0.000000000002,,66000000,900,0.01,0.0000000036,,,0.02,10,36
LT1352,0.0000000000005,3000000,,200,0.0006,0.000000014,0.00000005,,0.00025,5,36
LT1498,0.0000000000003,10500000,,4.5,0.000475,0.000000012,0.00000065,Both,0.0017,2.2,36
LT1499,0.0000000000003,10500000,,4.5,0.000475,0.000000012,0.00000065,Both,0.0017,2.2,36
LT2179,0.00000000000001,60000,,0.025,0.0001,0.000000049,0.000000005,In to V-,0.000013,2.2,44
AD8004,0.000000000038,,250000000,3000,0.0035,0.0000000015,0.00011,,0.014,4,12
AD8013,0.000000000012,,140000000,1000,0.005,0.0000000035,0.000015,,0.0035,4.2,13
AD8042,0.0000000000007,90000000,170000000,225,0.0098,0.000000015,0.0000032,Output,0.006,3,12
AD8044,0.0000000000009,90000000,160000000,190,0.0065,0.000000016,0.0000045,In to V- Output,0.002875,3,12
OP296,0.00000000000019,450000,,0.3,0.0003,0.000000026,0.00000005,Both,0.00006,3,12
AD8041,0.0000000000006,160000000,170000000,170,0.007,0.000000016,0.0000032,In to V- Output,0.0058,3,12
AD8041S,,160000000,,,0.0095,,0.0000034,In to V- Output,,3,12
AD823,0.000000000000001,10000000,16000000,25,0.0035,0.000000016,0.00000000003,In to V- Output,0.0052,3,36
LT1367,0.00000000000007,400000,,0.13,0.0008,0.000000029,0.000000035,Both,0.00034,2,36
LT1368,0.00000000000007,160000,,0.065,0.000475,0.000000029,0.000000035,Both,0.00034,2,36
OP484,0.0000000000004,4250000,,4,0.0001,0.0000000039,0.00000045,Both,,3,36
OP484S,,,,,0.0002,,0.00000035,Both,,3,36
OP496,0.00000000000019,450000,,0.3,0.0003,0.000000026,0.00000005,Both,0.00006,3,12
AD8002,0.000000000002,,600000000,1200,0.006,0.000000002,0.000025,,0.01,6,12
AD8011,0.000000000005,,400000000,1100,0.005,0.000000002,0.000015,,0.001,3,12
OP284,0.0000000000004,4250000,,4,0.0001,0.0000000039,0.00000045,Both,0.002,2,36
OP293,0.00000000000005,35000,,0.015,0.00025,0.000000065,0.00000002,In to V-,0.00003,1.7,36
AD8047,0.000000000001,110000000,250000000,750,0.003,0.0000000052,0.0000035,,0.0058,6,12
AD8048,0.000000000001,120000000,260000000,1000,0.003,0.0000000038,0.0000035,,0.0059,6,12
AD824,0.0000000000000011,2000000,,2,0.0025,0.000000016,0.000000000035,In to V- Output,0.00056,2.7,30
OP193,0.00000000000005,35000,,0.015,0.00015,0.000000065,0.000000015,In to V-,0.00003,1.7,36
AD8036,0.0000000000022,110000000,240000000,1200,0.007,0.0000000067,0.00001,,0.0205,6,12
AD8037,0.0000000000021,140000000,270000000,1500,0.007,0.0000000045,0.000009,,0.0185,6,12
LT1354,0.0000000000006,12000000,,400,0.0008,0.00000001,0.0000003,,0.001,5,36
LT1357,0.0000000000008,25000000,,600,0.0006,0.000000008,0.0000005,,0.002,5,36
OP191,0.0000000000008,3000000,,0.5,0.0005,0.000000042,0.000000065,Both,0.00042,2.7,12
OP279,0.000000000001,5000000,,3,0.004,0.000000022,0.0000003,Both,0.0035,4.5,12
AD9631,0.0000000000025,110000000,320000000,1300,0.01,0.000000007,0.000007,,0.017,6,12
AD9632,0.000000000002,130000000,250000000,1500,0.005,0.0000000043,0.000007,,0.016,6,12
LT1169,0.000000000000001,5300000,,4.2,0.002,0.000000006,0.00000000002,,0.0053,9,40
LT1361,0.0000000000009,50000000,,800,0.001,0.000000009,0.000001,,0.0038,5,36
LT1362,0.0000000000009,50000000,,800,0.001,0.000000009,0.000001,,0.0038,5,36
LT1364,0.000000000001,70000000,,1000,0.0015,0.000000009,0.000001,,0.006,3,36
LT1365,0.000000000001,70000000,,1000,0.0015,0.000000009,0.000002,,0.006,3,36
AD8001,0.000000000018,,880000000,1200,0.0055,0.000000002,0.000025,,0.005,6,12
AD8001S,,,880000000,,0.0055,,0.000025,,,6,12
LT1251,0.0000000000015,,40000000,300,0.005,0.0000000027,0.00003,,0.0135,5,36
LT1256,0.0000000000015,,40000000,300,0.005,0.0000000027,,,0.0135,5,36
LT1457,0.0000000000000015,1000000,,4,0.00045,0.000000013,0.0000000005,,0.0018,9,40
LTC1152,0.0000000000006,700000,,0.5,0.00001,0.0000001,0.0000000001,Both,0.0022,3,14
OP291,0.0000000000008,3000000,,0.5,0.0007,0.000000035,0.000000065,Both,0.00042,2.7,12
OP491,0.0000000000008,3000000,,0.5,0.0007,0.000000042,0.000000065,Both,0.0002,2.7,12
LT1203,,150000000,,300,0.03,,0.000005,,0.01,9,36
LT1205,,150000000,,300,0.03,,0.000005,,0.01,9,36
LT1366,0.00000000000007,400000,,0.13,0.000475,0.000000029,0.000000035,Both,0.00034,2,36
AD812,0.0000000000015,,145000000,250,0.005,0.0000000035,0.000025,,0.0045,2.4,36
AD813,0.0000000000015,,100000000,450,0.005,0.0000000035,0.00003,,,2.4,36
LT1113,0.00000000000001,5600000,,3.9,0.0015,0.0000000045,0.00000000045,,0.0053,9,40
LT1204,0.0000000000015,,95000000,1000,0.014,0.000000007,,,0.019,9,36
LT1259,0.0000000000013,,130000000,1600,0.012,0.0000000036,,,0.005,4,36
LT1260,0.0000000000013,,130000000,1600,0.012,0.0000000036,,,0.005,4,36
LT1355,0.0000000000006,12000000,,400,0.0008,0.00000001,0.0000003,,0.001,5,36
LT1356,0.0000000000006,12000000,,400,0.0008,0.00000001,0.0000003,,0.001,5,36
LT1358,0.0000000000008,25000000,,600,0.0006,0.000000008,0.0000005,,0.002,5,36
LT1359,0.0000000000008,25000000,,600,0.0006,0.000000008,0.0000005,,0.002,5,36
LT1360,0.0000000000009,50000000,,800,0.001,0.000000009,0.000001,,0.0038,3,36
LT1363,0.000000000001,70000000,,1000,0.0015,0.000000009,0.000002,,0.0063,3,36
LT1413,0.00000000000002,950000,,0.3,0.00015,0.000000023,,In to V-,0.00033,3,22
OP292,0.0000000000007,4000000,,4,0.002,0.000000015,0.0000007,In to V-,0.001,4.5,33
OP492,0.0000000000007,4000000,,4,0.0025,0.000000015,0.0000007,In to V-,0.001,4.5,33
AD822,0.0000000000000008,1800000,180000,3,0.0015,0.000000013,0.000000000012,In to V- Output,0.0009,5,30
AD826,0.0000000000015,50000000,50000000,350,0.002,0.000000015,0.0000066,,0.0066,5,36
AD828,0.0000000000015,100000000,130000000,450,0.002,0.00000001,0.0000066,,0.0075,5,36
LT1206,0.000000000002,,66000000,900,0.01,0.0000000036,,,0.02,10,36
OP113,0.0000000000004,3400000,,1.2,0.000075,0.0000000047,0.0000006,In to V-,0.003,4,36
OP413,0.0000000000004,3400000,,1.2,0.000125,0.0000000047,0.0000006,In to V-,0.003,4,36
OP495,0.0000000000001,85000,,0.03,0.0005,0.000000045,0.00000002,Output,0.000175,3,36
AD820,0.0000000000000008,1800000,,3,0.001,0.000000013,0.00000000001,In to V- Output,0.0009,5,30
LT1208,0.0000000000011,45000000,,400,0.003,0.000000022,0.000008,,0.007,8,36
LT1209,0.0000000000011,45000000,,400,0.003,0.000000022,0.000008,,0.007,8,36
LT1212,0.0000000000002,13000000,,7,0.000275,0.000000012,0.000000125,In to V-,0.0013,2.5,36
LT1214,0.0000000000002,28000000,,8.5,0.000275,0.00000001,0.0000002,In to V-,0.0027,2.5,36
LT1216,0.0000000000005,23000000,,30,0.00045,0.000000012,0.0000006,In to V-,0.00475,2.5,36
LT1252,0.0000000000015,,250000000,250,0.015,0.000000003,,,0.0085,4,28
LT1253,0.0000000000015,,250000000,250,0.015,0.000000003,,,0.006,4,28
LT1254,0.0000000000015,250000000,,250,0.015,0.000000003,,,0.006,4,28
SSM2135,0.0000000000005,3500000,,0.9,0.002,0.0000000052,0.00000075,In to V-,0.0038,4,36
LT1195,0.000000000002,50000000,,165,0.008,0.00000007,0.000002,,0.012,4,18
LT1211,0.0000000000002,13000000,,7,0.00015,0.000000012,0.0000001,In to V-,0.0013,2.5,36
